GEOID,variable,estimate,moe,label,concept,variable_group,variable_index,denom,prop,percent,county_name
19001,B03003_001,7085,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,7085,1,100,Adair
19001,B03003_002,6939,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,7085,0.9793930839802399,97.939308398024,Adair
19001,B03003_003,146,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,7085,0.020606916019760058,2.0606916019760058,Adair
19001,B06004I_001,146,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,146,1,100,Adair
19001,B06004I_002,63,17,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,146,0.4315068493150685,43.15068493150685,Adair
19001,B06004I_003,22,19,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,146,0.1506849315068493,15.068493150684931,Adair
19001,B06004I_004,14,15,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,146,0.0958904109589041,9.58904109589041,Adair
19001,B06004I_005,47,21,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,146,0.3219178082191781,32.19178082191781,Adair
19003,B03003_001,3670,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,3670,1,100,Adams
19003,B03003_002,3621,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,3670,0.9866485013623978,98.66485013623978,Adams
19003,B03003_003,49,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,3670,0.01335149863760218,1.335149863760218,Adams
19003,B06004I_001,49,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,49,1,100,Adams
19003,B06004I_002,13,12,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,49,0.2653061224489796,26.53061224489796,Adams
19003,B06004I_003,19,11,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,49,0.3877551020408163,38.775510204081634,Adams
19003,B06004I_004,0,10,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,49,0,0,Adams
19003,B06004I_005,17,15,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,49,0.3469387755102041,34.69387755102041,Adams
19005,B03003_001,13813,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,13813,1,100,Allamakee
19005,B03003_002,12899,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,13813,0.9338304495764859,93.3830449576486,Allamakee
19005,B03003_003,914,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,13813,0.06616955042351408,6.616955042351408,Allamakee
19005,B06004I_001,914,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,914,1,100,Allamakee
19005,B06004I_002,265,90,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,914,0.2899343544857768,28.99343544857768,Allamakee
19005,B06004I_003,205,103,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,914,0.22428884026258206,22.428884026258206,Allamakee
19005,B06004I_004,32,48,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,914,0.0350109409190372,3.50109409190372,Allamakee
19005,B06004I_005,412,71,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,914,0.45076586433260396,45.076586433260395,Allamakee
19007,B03003_001,12452,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,12452,1,100,Appanoose
19007,B03003_002,12202,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,12452,0.9799229039511725,97.99229039511725,Appanoose
19007,B03003_003,250,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,12452,0.020077096048827497,2.00770960488275,Appanoose
19007,B06004I_001,250,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,250,1,100,Appanoose
19007,B06004I_002,79,53,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,250,0.316,31.6,Appanoose
19007,B06004I_003,155,58,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,250,0.62,62,Appanoose
19007,B06004I_004,0,16,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,250,0,0,Appanoose
19007,B06004I_005,16,20,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,250,0.064,6.4,Appanoose
19009,B03003_001,5571,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,5571,1,100,Audubon
19009,B03003_002,5539,35,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,5571,0.9942559684078263,99.42559684078263,Audubon
19009,B03003_003,32,35,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,5571,0.005744031592173757,0.5744031592173757,Audubon
19009,B06004I_001,32,35,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,32,1,100,Audubon
19009,B06004I_002,16,15,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,32,0.5,50,Audubon
19009,B06004I_003,10,18,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,32,0.3125,31.25,Audubon
19009,B06004I_004,0,14,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,32,0,0,Audubon
19009,B06004I_005,6,12,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,32,0.1875,18.75,Audubon
19011,B03003_001,25636,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,25636,1,100,Benton
19011,B03003_002,25250,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,25636,0.9849430488375721,98.49430488375721,Benton
19011,B03003_003,386,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,25636,0.015056951162427836,1.5056951162427836,Benton
19011,B06004I_001,386,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,386,1,100,Benton
19011,B06004I_002,137,72,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,386,0.3549222797927461,35.49222797927461,Benton
19011,B06004I_003,159,78,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,386,0.4119170984455959,41.19170984455959,Benton
19011,B06004I_004,11,16,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,386,0.02849740932642487,2.849740932642487,Benton
19011,B06004I_005,79,32,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,386,0.20466321243523317,20.466321243523318,Benton
19013,B03003_001,132393,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,132393,1,100,Black Hawk
19013,B03003_002,126566,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,132393,0.955987099015809,95.5987099015809,Black Hawk
19013,B03003_003,5827,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,132393,0.04401290098419101,4.401290098419101,Black Hawk
19013,B06004I_001,5827,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,5827,1,100,Black Hawk
19013,B06004I_002,2471,258,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,5827,0.4240604084434529,42.40604084434529,Black Hawk
19013,B06004I_003,1486,332,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,5827,0.2550197357130599,25.501973571305992,Black Hawk
19013,B06004I_004,76,71,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,5827,0.013042732109147075,1.3042732109147075,Black Hawk
19013,B06004I_005,1794,302,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,5827,0.3078771237343401,30.78771237343401,Black Hawk
19015,B03003_001,26370,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,26370,1,100,Boone
19015,B03003_002,25675,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,26370,0.9736442927569208,97.36442927569207,Boone
19015,B03003_003,695,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,26370,0.026355707243079257,2.6355707243079256,Boone
19015,B06004I_001,695,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,695,1,100,Boone
19015,B06004I_002,215,92,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,695,0.30935251798561153,30.935251798561154,Boone
19015,B06004I_003,301,56,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,695,0.4330935251798561,43.30935251798561,Boone
19015,B06004I_004,3,5,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,695,0.004316546762589928,0.4316546762589928,Boone
19015,B06004I_005,176,84,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,695,0.25323741007194245,25.323741007194243,Boone
19017,B03003_001,24864,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,24864,1,100,Bremer
19017,B03003_002,24472,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,24864,0.9842342342342343,98.42342342342343,Bremer
19017,B03003_003,392,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,24864,0.015765765765765764,1.5765765765765765,Bremer
19017,B06004I_001,392,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,392,1,100,Bremer
19017,B06004I_002,186,48,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,392,0.4744897959183674,47.44897959183674,Bremer
19017,B06004I_003,155,48,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,392,0.39540816326530615,39.54081632653062,Bremer
